model,bucket,predicted,actual,matches
elo,0-10%,0.06225540321636039,0.10652920962199312,291
elo,10-20%,0.15562932166246093,0.16934306569343066,685
elo,20-30%,0.25272425464445564,0.27398444252376836,1157
elo,30-40%,0.3516528385432764,0.38601210490921317,1487
elo,40-50%,0.4496438866224517,0.47501505117399156,1661
elo,50-60%,0.5494108364143259,0.5398230088495575,1582
elo,60-70%,0.6482892356606214,0.6,1410
elo,70-80%,0.7487587154264863,0.7244444444444444,1125
elo,80-90%,0.8461549903694471,0.8061224489795918,686
elo,90-100%,0.9355317361913362,0.9194630872483222,298
logreg,0-10%,0.06118020585120691,0.07806691449814127,269
logreg,10-20%,0.15441869844119677,0.16973125884016974,707
logreg,20-30%,0.25188898894097966,0.2662619254119688,1153
logreg,30-40%,0.3515494162482348,0.37159920371599203,1507
logreg,40-50%,0.45058098579124384,0.46837708830548924,1676
logreg,50-60%,0.5488451934247275,0.5485817742908872,1657
logreg,60-70%,0.6476161193959953,0.6200294550810015,1358
logreg,70-80%,0.7483287971256684,0.7356948228882834,1101
logreg,80-90%,0.8429755110127156,0.8134556574923547,654
logreg,90-100%,0.9356090724585234,0.9433333333333334,300
xgb,0-10%,0.06222767010331154,0.0873015873015873,252
xgb,10-20%,0.1564815193414688,0.15763546798029557,609
xgb,20-30%,0.2518341541290283,0.26795366795366793,1295
xgb,30-40%,0.35123199224472046,0.36973180076628354,1566
xgb,40-50%,0.4501051902770996,0.46873065015479876,1615
xgb,50-60%,0.5506475567817688,0.5361484325015995,1563
xgb,60-70%,0.6465408205986023,0.622478386167147,1388
xgb,70-80%,0.748927652835846,0.7348551360842844,1139
xgb,80-90%,0.8442944288253784,0.8317307692307693,624
xgb,90-100%,0.941017746925354,0.9365558912386707,331
