lo_id,hi_id,lo_wins,hi_wins
100428,102735,1,0
100428,103185,0,1
100644,102093,1,0
100644,103188,0,1
100644,103333,0,1
100644,103565,1,0
100644,103582,1,1
100644,103656,0,1
100644,103781,0,1
100644,103794,3,0
100644,103813,1,0
100644,103819,4,3
100644,103852,1,0
100644,103893,1,0
100644,103898,2,0
100644,103908,3,2
100644,103917,1,1
100644,103970,5,3
100644,103971,1,0
100644,103990,0,2
100644,104007,1,0
100644,104022,3,0
100644,104068,0,1
100644,104095,1,0
100644,104180,1,2
100644,104216,0,1
100644,104229,2,1
100644,104252,0,1
100644,104259,2,3
100644,104269,4,2
100644,104291,3,2
100644,104308,1,0
100644,104312,1,1
100644,104327,1,1
100644,104338,1,0
100644,104460,1,1
100644,104468,4,0
100644,104471,2,0
100644,104499,0,1
100644,104527,5,0
100644,104534,0,1
100644,104542,1,2
100644,104545,7,2
100644,104547,3,1
100644,104559,1,0
100644,104563,1,0
100644,104571,1,1
100644,104586,1,3
100644,104592,1,0
100644,104597,1,0
100644,104607,2,4
100644,104619,1,0
100644,104655,0,1
100644,104678,3,1
100644,104714,1,0
100644,104719,1,1
100644,104731,6,0
100644,104735,3,0
100644,104745,4,7
100644,104755,4,0
100644,104792,1,3
100644,104797,2,0
100644,104850,0,1
100644,104871,5,1
100644,104898,4,2
100644,104918,1,3
100644,104919,1,0
100644,104925,5,9
100644,104926,3,1
100644,104947,1,2
100644,104978,1,2
100644,104979,1,0
100644,104997,0,2
100644,104999,1,1
100644,105023,3,0
100644,105032,1,0
100644,105053,1,0
100644,105062,1,0
100644,105064,3,0
100644,105077,1,1
100644,105080,1,0
100644,105091,1,0
100644,105132,0,1
100644,105138,6,2
100644,105154,2,0
100644,105166,1,0
100644,105173,9,0
100644,105208,1,1
100644,105216,0,1
100644,105217,1,0
100644,105223,0,2
100644,105227,8,1
100644,105238,1,0
100644,105269,1,0
100644,105270,1,0
100644,105311,1,1
100644,105332,1,1
100644,105341,1,0
100644,105357,3,0
100644,105359,1,0
100644,105373,1,0
100644,105376,2,0
100644,105379,4,0
100644,105385,0,2
100644,105430,2,0
100644,105436,0,1
100644,105438,0,1
100644,105441,0,1
100644,105449,1,1
100644,105453,5,1
100644,105472,2,0
100644,105487,1,1
100644,105526,5,1
100644,105539,2,0
100644,105542,1,0
100644,105550,3,0
100644,105554,1,1
100644,105561,0,1
100644,105575,2,0
100644,105577,1,0
100644,105583,5,0
